task_id,project_id,task_name,assignee_id,due_date,completed_date,status,estimated_hours
1,1,Hand-off integration,17,2026-02-26,,Open,4
2,1,Implement UAT plan,19,2025-10-07,,In Progress,40
3,1,Test stakeholder briefing,41,2025-11-02,,In Progress,80
4,1,Deploy risk register,4,2025-11-16,,In Progress,4
5,1,Deploy requirements,1,2026-02-19,,Open,16
6,1,Deploy integration,48,2026-03-26,,Open,24
7,1,Validate requirements,8,2026-01-29,,In Progress,4
8,1,Validate requirements,24,2026-03-05,,Blocked,40
9,1,Implement requirements,20,2026-01-29,,Open,16
10,1,Draft risk register,23,2026-04-01,,Blocked,8
11,1,Review training materials,50,2026-03-03,,Open,40
12,1,Kickoff integration,16,2025-12-23,,Blocked,80
13,1,Train integration,27,2025-10-21,,Blocked,4
14,1,Document test cases,27,2025-10-25,,In Progress,80
15,1,Deploy integration,45,2026-02-28,2026-02-28,Done,4
16,1,Test reports,30,2025-12-16,2025-12-24,Done,16
17,1,Test requirements,43,2025-11-27,2025-11-27,Done,8
18,1,Pilot data model,50,2025-12-21,,Open,16
19,1,Configure stakeholder briefing,35,2025-12-08,,In Progress,16
20,1,Deploy integration,38,2025-09-17,,Open,16
21,1,Configure training materials,47,2025-09-19,,Open,80
22,1,Validate data model,25,2025-11-29,,Open,40
23,1,Kickoff rollout plan,1,2025-10-28,,Open,40
24,1,Kickoff vendor SOW,48,2026-04-04,,In Progress,60
25,2,Approve training materials,43,2026-04-22,2026-04-25,Done,80
26,2,Validate UAT plan,43,2026-02-19,2026-02-21,Done,24
27,2,Validate integration,13,2026-04-12,2026-04-14,Done,24
28,2,Approve change request,20,2026-04-26,2026-04-24,Done,24
29,2,Configure test cases,38,2026-01-19,2026-01-18,Done,40
30,2,Plan reports,33,2026-04-11,2026-04-18,Done,24
31,2,Validate stakeholder briefing,41,2026-03-03,2026-03-05,Done,40
32,2,Train reports,44,2026-04-14,,Open,16
33,2,Draft requirements,16,2026-03-17,2026-03-14,Done,24
34,2,Kickoff vendor SOW,25,2026-02-06,2026-02-05,Done,24
35,2,Plan vendor SOW,1,2026-05-01,,In Progress,80
36,2,Implement test cases,45,2026-02-15,2026-02-15,Done,40
37,2,Test risk register,8,2026-05-17,,Open,24
38,2,Validate change request,21,2026-02-22,2026-03-03,Done,80
39,2,Configure RACI,36,2026-05-12,2026-05-21,Done,24
40,2,Migrate UAT plan,49,2026-02-28,2026-03-08,Done,8
41,2,Migrate stakeholder briefing,16,2026-03-30,2026-04-08,Done,16
42,2,Deploy reports,18,2026-05-11,,Open,16
43,2,Implement integration,15,2026-04-10,2026-04-05,Done,24
44,2,Configure rollout plan,22,2026-02-27,2026-02-22,Done,40
45,2,Pilot rollout plan,25,2026-05-18,2026-05-17,Done,80
46,3,Draft training materials,20,2026-04-28,,Open,80
47,3,Validate vendor SOW,48,2026-03-11,2026-03-17,Done,40
48,3,Test UAT plan,28,2026-05-05,2026-05-13,Done,24
49,3,Plan stakeholder briefing,26,2025-12-09,,Open,60
50,3,Approve cutover,2,2026-01-13,2026-01-10,Done,24
51,3,Draft data model,42,2026-05-02,,In Progress,24
52,3,Draft UAT plan,25,2026-01-05,2026-01-03,Done,16
53,3,Document test cases,25,2026-01-25,,In Progress,16
54,3,Review security review,2,2026-03-19,,Open,60
55,3,Document reports,42,2026-04-19,,Open,4
56,3,Test RACI,2,2025-12-12,2025-12-12,Done,40
57,3,Migrate stakeholder briefing,8,2026-01-10,,Open,40
58,3,Deploy test cases,24,2026-01-26,,In Progress,8
59,3,Kickoff vendor SOW,8,2026-05-06,,In Progress,80
60,3,Review change request,2,2026-01-12,,Blocked,16
61,4,Test data model,38,2026-01-28,,Blocked,60
62,4,Review vendor SOW,50,2026-05-19,,In Progress,16
63,4,Train data model,37,2026-05-24,,In Progress,80
64,4,Configure stakeholder briefing,24,2025-10-29,,Open,4
65,4,Draft RACI,27,2026-02-25,,In Progress,80
66,4,Document stakeholder briefing,30,2026-02-21,,Open,60
67,4,Kickoff cutover,42,2025-11-27,,Open,16
68,4,Train security review,30,2026-03-25,2026-04-04,Done,24
69,4,Deploy training materials,16,2026-05-18,,In Progress,80
70,4,Migrate reports,49,2025-11-10,,Open,24
71,4,Configure training materials,2,2026-03-13,,In Progress,24
72,4,Migrate reports,23,2026-05-24,,Open,80
73,4,Hand-off change request,45,2025-12-24,,Open,16
74,4,Test data model,16,2026-03-10,,Open,60
75,4,Train reports,45,2026-01-31,,Open,24
76,4,Migrate test cases,2,2026-04-02,,In Progress,4
77,4,Kickoff reports,20,2026-01-02,,Open,60
78,4,Validate cutover,23,2026-03-16,,Open,24
79,4,Document vendor SOW,30,2026-04-27,,In Progress,16
80,4,Review vendor SOW,13,2026-01-05,,Open,16
81,4,Train vendor SOW,12,2025-11-18,,In Progress,8
82,4,Deploy vendor SOW,38,2025-12-13,,In Progress,80
83,4,Review RACI,13,2026-03-02,,In Progress,16
84,4,Deploy requirements,46,2025-12-16,,Open,40
85,4,Draft cutover,19,2025-11-20,,Open,60
86,4,Train security review,7,2025-11-20,,In Progress,80
87,4,Migrate security review,29,2025-10-22,,In Progress,16
88,5,Pilot security review,8,2025-06-15,,In Progress,80
89,5,Review change request,41,2025-06-18,,In Progress,60
90,5,Train change request,20,2025-06-15,,Open,4
91,5,Train rollout plan,39,2025-08-04,,Open,40
92,5,Migrate risk register,29,2025-07-29,2025-08-03,Done,16
93,5,Approve requirements,40,2025-09-19,,In Progress,60
94,5,Plan reports,17,2025-06-27,2025-06-26,Done,60
95,5,Implement cutover,5,2025-06-22,,Open,8
96,5,Kickoff change request,31,2025-06-02,,In Progress,16
97,5,Kickoff UAT plan,45,2025-06-10,,Open,80
98,5,Test risk register,17,2025-09-26,,Open,80
99,5,Validate reports,42,2025-07-22,,In Progress,8
100,5,Draft integration,20,2025-08-09,2025-08-04,Done,40
101,5,Migrate vendor SOW,20,2025-08-14,,In Progress,60
102,5,Validate security review,29,2025-09-13,2025-09-22,Done,4
103,5,Approve UAT plan,2,2025-06-12,2025-06-15,Done,4
104,5,Pilot RACI,37,2025-07-30,,Blocked,40
105,5,Plan RACI,18,2025-06-07,,Blocked,40
106,5,Migrate cutover,42,2025-06-12,2025-06-10,Done,24
107,5,Approve rollout plan,41,2025-08-12,,Open,80
108,6,Document training materials,43,2025-12-02,2025-12-08,Done,4
109,6,Deploy stakeholder briefing,26,2025-12-20,2025-12-28,Done,80
110,6,Review training materials,17,2026-03-29,,Open,16
111,6,Configure RACI,33,2025-12-08,,Blocked,80
112,6,Migrate rollout plan,4,2025-11-09,2025-11-19,Done,8
113,6,Plan security review,49,2026-03-21,2026-03-29,Done,4
114,6,Hand-off UAT plan,29,2025-12-31,2025-12-28,Done,60
115,6,Plan change request,16,2026-03-13,,Open,60
116,6,Validate rollout plan,6,2025-12-19,2025-12-12,Done,8
117,6,Plan RACI,10,2025-12-08,2025-12-04,Done,24
118,6,Configure RACI,31,2026-01-22,2026-01-23,Done,24
119,6,Configure reports,39,2026-01-10,2026-01-07,Done,40
120,6,Train test cases,27,2025-12-13,2025-12-14,Done,16
121,6,Deploy vendor SOW,20,2026-03-18,2026-03-11,Done,80
122,6,Pilot integration,29,2026-04-08,2026-04-16,Done,40
123,6,Train cutover,25,2026-03-12,2026-03-22,Done,24
124,6,Approve rollout plan,15,2026-01-30,2026-01-30,Done,80
125,6,Kickoff security review,46,2026-02-22,,Open,80
126,6,Migrate requirements,9,2026-02-14,2026-02-11,Done,40
127,6,Pilot RACI,29,2026-04-09,2026-04-05,Done,4
128,6,Kickoff integration,27,2026-03-23,2026-03-16,Done,80
129,6,Train UAT plan,22,2025-12-18,,Open,40
130,6,Pilot stakeholder briefing,35,2026-02-18,2026-02-21,Done,24
131,6,Pilot cutover,3,2026-01-29,2026-02-06,Done,40
132,6,Plan risk register,19,2025-11-26,,In Progress,8
133,6,Train stakeholder briefing,46,2025-12-02,2025-11-28,Done,80
134,6,Hand-off requirements,3,2025-12-04,2025-12-06,Done,16
135,6,Configure integration,16,2025-11-23,2025-11-27,Done,40
